spu_id	spu_name	Class
SPU_010631	Sp-Arp3ph	Cytoskeleton
SPU_010644	Sp-B3galt1_9	Metabolism
SPU_010645	Sp-B3gt1	NONE
SPU_010705	Sp-Ugt2c1	Defensome
SPU_010785	Sp-Slc24a2_1	CalciumToolkit
SPU_010829	Sp-Ef2	"GTPase,TranslationFactor"
SPU_010840	Sp-G-cadL1	Adhesion
SPU_010952	Sp-Mrpl16	NONE
SPU_010992	Sp-Srcr96	Immunity
SPU_011039	Sp-Gage1	NONE
SPU_011073	Sp-Ttrspn_7	NONE
SPU_011074	Sp-Fam55c	NONE
SPU_011106	Sp-Anxn	CalciumToolkit
SPU_011126	Sp-Nxn_1	NONE
SPU_011127	Sp-Ppap2b	Metabolism
SPU_011138	Sp-Hypp_1961	NONE
SPU_011147	none	NONE
SPU_011163	Sp-Clect_25	NONE
SPU_011180	Sp-Fn3/Egff_1	Adhesion
SPU_011256	none	NONE
SPU_011293	Sp-Alpl	Metabolism
SPU_011304	Sp-Klhl29	NONE
SPU_011304	Sp-Klhl29	NONE
SPU_011332	Sp-Clca1_3	NONE
SPU_011343	none	NONE
SPU_011345	Sp-Kctd12b	NONE
SPU_011352	Sp-Rps3A	NONE
SPU_011507	Sp-Hypp_1984	NONE
SPU_011527	Sp-Tiam2	GTPase
SPU_011562	Sp-Pla2	NONE
SPU_011587	Sp-Trpm3_4	"CalciumToolkit,EggActivation"
SPU_011587	Sp-Trpm3_4	"CalciumToolkit,EggActivation"
SPU_011588	Sp-Spc39L	Metabolism
SPU_011588	Sp-Spc39L	Metabolism
SPU_011684	Sp-Dynlc2-4d	NONE
SPU_011693	Sp-Hemic1	"Adhesion,Adhesion"
SPU_011699	Sp-Spcaph	Cytoskeleton
SPU_011703	none	NONE
SPU_011766	Sp-Cyld_1	NONE
SPU_011963	Sp-Tsg101	NONE
SPU_011963	Sp-Tsg101	NONE
SPU_011978	Sp-Enpep	Metalloprotease
SPU_012008	Sp-Myor2	TF
SPU_012072	Sp-Napepld	NONE
SPU_012084	Sp-Sac	CalciumToolkit
SPU_012091	Sp-Nfkbil1L	NONE
SPU_012097	Sp-Sgsh_1	NONE
SPU_012112	Sp-Rab5l	GTPase
SPU_012138	Sp-LamG/Egff2	NONE
SPU_012228	Sp-Arp2/3cs4	NONE
SPU_012317	none	NONE
SPU_012356	Sp-C1orf58	NONE
SPU_012385	Sp-Ttrspn_10	NONE
SPU_012389	Sp-Unk_40	NONE
SPU_012486	Sp-Hypp_2035	NONE
SPU_012518	Sp-Cara7LA	Biomineralization
SPU_012548	Sp-Sparc_2	NONE
SPU_012549	Sp-Mt1-4/MmpL4	Metalloprotease
SPU_012626	Sp-Lhh2bd	Histone
SPU_012646	Sp-Orct	Defensome
SPU_012695	Sp-Atp6ap1	NONE
SPU_012706	Sp-Tbc1d1_1	NONE
SPU_012721	none	NONE
SPU_012773	none	NONE
SPU_012786	Sp-Bmp5/6/7/8	Signaling
SPU_012898	Sp-Cnnm2	NONE
SPU_012929	Sp-Hypp_3018	NONE
SPU_013062	Sp-Hypp_701	NONE
SPU_013100	Sp-Ars	NONE
SPU_013117	none	TF
SPU_013140	Sp-Ron	"Adhesion,Kinase,Signaling"
SPU_013140	Sp-Ron	"Adhesion,Kinase,Signaling"
SPU_013143	Sp-Hypp_2072	NONE
SPU_013237	Sp-Syne1	NONE
SPU_013237	Sp-Syne1	NONE
SPU_013237	Sp-Syne1	NONE
SPU_013237	Sp-Syne1	NONE
SPU_013237	Sp-Syne1	NONE
SPU_013301	Sp-Myp	Oogenesis
SPU_013352	Sp-Tirc6(partial)	Immunity
SPU_013368	Sp-Prdx6	NONE
SPU_013376	Sp-Txndc	NONE
SPU_013378	Sp-SerpL4	Immunity
SPU_013414	Sp-Gi	GTPase
SPU_013436	Sp-Gsx	TF
SPU_013510	Sp-Notchl4	Signaling
SPU_013557	Sp-Fcolf	"Adhesion,Biomineralization"
SPU_013557	Sp-Fcolf	"Adhesion,Biomineralization"
SPU_013662	Sp-Rps3	NONE
SPU_013664	none	NONE
SPU_013669	Sp-Mt1-4/MmpL5	Metalloprotease
SPU_013698	Sp-Nrl	NONE
SPU_013716	Sp-Sorc	"CalciumToolkit,EggActivation"
SPU_013736	none	NONE
SPU_013756	Sp-Ppib	Biomineralization
SPU_013763	Sp-Fam20c_1	NONE
SPU_013810	Sp-Ptpn6/11	"Immunity,Signaling"
SPU_013810	Sp-Ptpn6/11	"Immunity,Signaling"
SPU_013819	Sp-Eno1	Metabolism
SPU_013822	Sp-Msp130r1	Biomineralization
SPU_013825	Sp-Clect_76	NONE
SPU_013831	Sp-Srcr110	Immunity
SPU_013857	Sp-Vps28	NONE
SPU_013883	none	Metalloprotease
SPU_013889	Sp-Pxdn	Nervous
SPU_013893	Sp-Cts5	Immunity
SPU_013917	Sp-ProjL	"CalciumToolkit,Kinase"
SPU_013917	Sp-ProjL	"CalciumToolkit,Kinase"
SPU_013967	Sp-Ift172_5	Signaling
SPU_014064	none	NONE
SPU_014065	Sp-Fbn3_2	NONE
SPU_014160	none	NONE
SPU_014208	Sp-GagpolL_7	NONE
SPU_014274	Sp-Xpnpep1	"Metalloprotease,Metabolism"
SPU_014285	Sp-Tubb2a	NONE
SPU_014308	Sp-Hypp_112	NONE
SPU_014421	none	NONE
SPU_014496	Sp-Msp130r4	Biomineralization
SPU_014521	Sp-Adam17L2	"Metalloprotease,Signaling"
SPU_014524	Sp-Hypp_2156	NONE
SPU_014562	Sp-Stom	Metabolism
SPU_014564	Sp-Stom_1	Metabolism
SPU_014568	Sp-Stom_4	Metabolism
SPU_014594	Sp-14-3-3_1	NONE
SPU_014617	Sp-Lrp6	NONE
SPU_014617	Sp-Lrp6	NONE
SPU_014715	Sp-Gelsolinh2	NONE
SPU_014755	Sp-Ttrspn_13	NONE
SPU_014792	none	NONE
SPU_014805	none	NONE
SPU_014822	none	NONE
SPU_014848	Sp-Hypp_2173	NONE
SPU_014855	Sp-Rhbdf1-2	NONE
SPU_014869	Sp-Prxdxn	Defensome
SPU_014913	Sp-Rab4	GTPase
SPU_014914	Sp-Cts10	Immunity
SPU_015027	Sp-Acel_2	"Metalloprotease,Metabolism"
SPU_015068	none	NONE
SPU_015123	Sp-Srcr123	Immunity
SPU_015124	none	NONE
SPU_015125	Sp-Gal3st1_6	NONE
SPU_015163	Sp-Ccp/Hyr/Lnb/7Tm/Gpcr	Adhesion
SPU_015189	Sp-NfascL_1	NONE
SPU_015243	Sp-FoxN2/3	TF
SPU_015276	Sp-Ubq/RL40fp	NONE
SPU_015321	Sp-Celsr1	NONE
SPU_015321	Sp-Celsr1	NONE
SPU_015323	Sp-Ckb	Metabolism
SPU_015335	Sp-Vamp1	Nervous
SPU_015408	Sp-Hypp_3054	NONE
SPU_015595	Sp-Calpn	"Cytoskeleton,Cytoskeleton"
SPU_015642	Sp-Fgd4	GTPase
SPU_015708	Sp-Col4a2	"Adhesion,Biomineralization"
SPU_015763	Sp-Msp130r5	Biomineralization
SPU_015819	Sp-Homer2	NONE
SPU_015828	Sp-Pmar1c	TF
SPU_015848	none	NONE
SPU_015869	Sp-Oaf	NONE
SPU_015870	Sp-Rpip1	NONE
SPU_015902	Sp-Hypp_2238	NONE
SPU_015906	Sp-Hypp_120	NONE
SPU_015937	Sp-Srcr128	Immunity
SPU_016009	Sp-BetaLi	Adhesion
SPU_016016	Sp-Notchl5_1	Signaling
SPU_016020	Sp-Enpep_2	Metalloprotease
SPU_016052	Sp-Vtgn2	Oogenesis
SPU_016052	Sp-Vtgn2	Oogenesis
SPU_016117	Sp-Dnajc13-2	NONE
SPU_016120	Sp-Kif21	NONE
SPU_016128	Sp-Delta	Signaling
SPU_016155	Sp-Slc26a5_1	Metabolism
SPU_016179	Sp-Lrp4-2	"Adhesion,Metabolism"
SPU_016180	Sp-Lrp1L_2	"Adhesion,Metabolism"
SPU_016196	none	NONE
SPU_016285	Sp-Hypp_126	NONE
SPU_016288	Sp-Cnpy4	NONE
SPU_016346	none	NONE
SPU_016373	Sp-Srcr133	Immunity
SPU_016397	Sp-Hypp_2259	NONE
SPU_016500	Sp-Hsp701D	Defensome
SPU_016506	Sp-Msp130r2	Biomineralization
SPU_016565	Sp-SphH2b2	Histone
SPU_016636	Sp-Trpm3_5	"CalciumToolkit,EggActivation"
SPU_016664	Sp-Kif21a	NONE
SPU_016739	Sp-Hdlbp	Metabolism
SPU_016790	Sp-Rac	GTPase
SPU_016792	Sp-Tob	Signaling
SPU_016807	Sp-CrumbsL1	NONE
SPU_016836	Sp-EMI/Egf	NONE
SPU_016836	Sp-EMI/Egf	NONE
SPU_016970	Sp-Rtp4L	NONE
SPU_017018	Sp-Hypp_857	NONE
SPU_017018	Sp-Hypp_857	NONE
SPU_017072	Sp-Rab8	GTPase
SPU_017106	Sp-Dr	TF
SPU_017151	Sp-Hypp_2306	NONE
SPU_017159	Sp-Galnact2	"Adhesion,Metabolism"
SPU_017162	none	NONE
SPU_017178	Sp-TrimL	Adhesion
SPU_017187	Sp-Jip3	NONE
SPU_017202	Sp-Ig/Egf/Vwc	Adhesion
SPU_017202	Sp-Ig/Egf/Vwc	Adhesion
SPU_017299	none	Metabolism
SPU_017449	Sp-Sgsh_2	NONE
SPU_017511	Sp-TgfbrtII	"Kinase,Signaling"
SPU_017586	Sp-AgrnL	NONE
SPU_017586	Sp-AgrnL	NONE
SPU_017588	Sp-Hypp_136	NONE
SPU_017588	Sp-Hypp_136	NONE
SPU_017589	Sp-Hypp_2345	NONE
SPU_017590	Sp-Hypp_2346	NONE
SPU_017605	Sp-Atp5a1	Metabolism
SPU_017630	Sp-Hypp_885	NONE
SPU_017641	Sp-Hypp_887	NONE
SPU_017642	Sp-Smad2/3	"Immunity,Signaling,TF"
SPU_017737	none	NONE
SPU_017753	none	NONE
SPU_017758	none	NONE
SPU_017872	Sp-Colf_13	Adhesion
SPU_017872	Sp-Colf_13	Adhesion
SPU_017985	none	NONE
SPU_018126	Sp-Tgif	"Signaling,TF"
SPU_018142	Sp-Trpm3L	NONE
SPU_018195	Sp-Arfl5	GTPase
