Geneid,ACC1,ACC2,ACC3,ACC4,ACC5,ACC6,ACC7,ACC8,ACV1,ACV2,ACV3,ACV4,ACV5,ACV6,ACV7,ACV8,AVV10,AVV3,AVV4,AVV5,AVV6,AVV7,AVV8,AVV9
AlixG017740,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0
AlixG017742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG017745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0
AlixG017746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG017747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG017753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG017758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG017759,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG017760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG017764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG017765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG017769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG017734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG017744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG017751,13,83,47,0,10,0,0,18,4,13,0,37,0,0,16,5,31,78,21,155,57,0,46,73
AlixG017754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG017755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG017756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG017757,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG017761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG017762,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG017766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlixG017904,170,146,134,67,117,80,36,51,303,196,157,149,88,297,216,144,248,327,419,341,348,361,308,574
AlixG017870,60,37,20,87,89,149,4,12,163,307,140,16,6,11,46,258,240,49,205,104,177,25,25,60
AlixG017873,371,659,154,187,189,192,113,166,531,431,259,278,329,951,306,232,439,315,544,437,757,515,607,726
AlixG017906,575,552,24,188,272,676,5,50,558,349,391,15,43,95,32,856,488,193,253,359,240,55,17,278
AlixG017908,2230,2593,227,317,255,1632,103,130,522,4637,543,390,499,369,293,1530,771,2394,411,2644,365,692,327,1652
AlixG017889,1196,1988,62,69,196,320,9,26,372,1202,319,16,83,76,624,390,1449,979,235,719,286,70,227,711
AlixG017876,488,361,195,353,234,61,332,55,521,290,639,322,747,795,497,232,606,498,392,406,488,462,542,377
AlixG017910,200,52,113,146,34,540,19,25,118,111,81,65,180,115,138,195,82,162,190,306,121,213,123,262
AlixG017872,690,672,1,3,8,615,1,1,11,965,0,0,33,8,54,182,46,271,150,275,12,28,24,88
AlixG017902,14,0,0,0,10,1,0,8,34,10,25,0,34,31,21,34,36,28,114,186,12,65,111,23
AlixG017883,2564,2861,1469,1871,5756,321,1357,855,3113,1181,1620,2703,2443,4427,2147,1331,2148,3176,1775,3101,1917,2993,2565,3362
